!!!!!,^UNGU
D_c[a,Fj[Xb
]mGZe,\euZ|
^[[Si,\`W[c
iWLWh,nOZhe
yZdQP,eObfz
\mVse,KfXda
e_tQg,KfXda
e_tQg,KfXda
e_tQg,_`^R\
Vg[ZI,aL[KH
ogTZY,skHh\
hHXbg,gc{Qe
aSzQG,SUeOO
_LfaW,`GUfM
^^;V],ojxdR
[^be],\bPIc
\UZU`,Uf=SG
bMkow,Ok[eN
srgGD,skHh\
hHXbg,W_ocY
nAhy],VLWaX
ORUQN,SUeOO
_LfaW,nCTk`
oeo_N,bV`\U
[g[fV,_`^R\
Vg[ZI,TnJNg
lnnXc,PSYc\
TToV],_X]nY
\\I\',Rg`gu
nrYRV,KfXda
e_tQg,_`^R\
Vg[ZI,WcFQ]
>m`_d,VoESp
D_c[a,PSYc\
TToV],^Y`_[
sa\VP,RIG^R
]dQaf,WrZo^
ZnsHx,TnJNg
lnnXc,NAyya
paaf`,ipTS_
V^rXn,Xh]_V
g`Yfc,`GUfM
^^;V],RIG^R
]dQaf,bV`\U
[g[fV,cpofl
C]SaL,VZf]a
Zb\\X,NAyya
paaf`,Rg`gu
nrYRV,^]r[u
aO\sk,GYWaQ
yQyRb,[#[PR
cT_ae,~w[id
Wq^j],NAyya
paaf`,cpofl
C]SaL,fjYqc
hTl^g,^Y`_[
sa\VP,^Y`_[
sa\VP,^Y`_[
sa\VP,DJX`H
daYnT,~w[id
Wq^j],aL[KH
ogTZY,DJX`H
daYnT,cQ_cb
bPa`f,cpofl
C]SaL,fjYqc
hTl^g,RIG^R
]dQaf,LggpK
kST`q,WV[mh
a\bNS,[a_]S
Vgk\E,bV`\U
[g[fV,GfVyi
iPBVN,skHh\
hHXbg,ShdNn
RXQhZ,gc{Qe
aSzQG,e[n\V
nTUPY,G^iXS
D"H\f,WcFQ]
>m`_d,wdYrR
mXgGq,\euZ|
^[[Si,Pa^eY
o{h^p,WcFQ]
>m`_d,GYWaQ
yQyRb,nCTk`
oeo_N,bVK=]
X]oRQ,X9^aq
YcZ^S,TnJNg
lnnXc,Rg`gu
nrYRV,Uf=SG
bMkow,Pa^eY
o{h^p,\YiUn
VRpbh,VZf]a
Zb\\X,Pa^eY
o{h^p,\euZ|
^[[Si,cfq{Y
lW\if,fjYqc
hTl^g,>\pRP
O[_WZ,\`W[c
iWLWh,G^iXS
D"H\f,ShdNn
RXQhZ,Fj[Xb
]mGZe,gc{Qe
aSzQG,Z\bI[
`^[VK,KK]\M
KWgsQ,do^g`
TlQdQ,H_CDO
KfN[{,G^iXS
D"H\f,PSYc\
TToV],skHh\
hHXbg,NAyya
paaf`,[^EoH
_]pi],ipTS_
V^rXn,gghQf
f:[^l,_X]nY
\\I\',LggpK
kST`q,fjYqc
hTl^g,SUeOO
_LfaW,VZf]a
Zb\\X,Z\bI[
`^[VK,^]r[u
aO\sk,agKFS
vNY^[,fjYqc
hTl^g,ojxdR
[^be],cpofl
C]SaL,\bPIc
\UZU`,SMZSU
@PZf^,eObfz
\mVse,_X]nY
\\I\',UmS_b
PSYc\,gc{Qe
aSzQG,ojxdR
[^be],ojxdR
[^be],LkI_W
eSnbZ,eObfz
\mVse,agKFS
vNY^[,V`fWa
lNMXt,GOea`
nOZhe,NAyya
paaf`,`GUfM
^^;V],nOZhe
yZdQP,KfXda
e_tQg,KK]\M
KWgsQ,\`W[c
iWLWh,LneLc
gu[`f,^Y`_[
sa\VP,MaPhl
dWaQh,cpofl
C]SaL,e[n\V
nTUPY,nV]m_
__XKU,Pa^eY
o{h^p,^Y`_[
sa\VP,IZodZ
dVB]j,GYWaQ
yQyRb,enOQ_
NhPX],V`fWa
lNMXt,WrZo^
ZnsHx,NAyya
paaf`,GYWaQ
yQyRb,cpofl
C]SaL,cQ_cb
bPa`f,~w[id
Wq^j],wdYrR
mXgGq,KK]\M
KWgsQ,Z\bI[
`^[VK,do^g`
TlQdQ,LdySY
~QVGU,LkI_W
eSnbZ,GfVyi
iPBVN,XVMFZ
V`hWd,Uf=SG
bMkow,RIG^R
]dQaf,WV[mh
a\bNS,H_CDO
KfN[{,[^EoH
_]pi],WcFQ]
>m`_d,~w[id
Wq^j],Siu`h
UmS_b,G^iXS
D"H\f,WV[mh
a\bNS,]g`io
`L_]L,nCTk`
oeo_N,[#[PR
cT_ae,iqlVV
FWk[U,V`fWa
lNMXt,bV`\U
[g[fV,e[n\V
nTUPY,bjwUU
RX[T[,^Y`_[
sa\VP,botNT
DJX`H,\`W[c
iWLWh,enOQ_
NhPX],W_ocY
nAhy],cpofl
C]SaL,VoESp
D_c[a,\`W[c
iWLWh,WV[mh
a\bNS,IZodZ
dVB]j,TnJNg
lnnXc,E]FEd
`hfnV,skHh\
hHXbg,NAyya
paaf`,G^iXS
D"H\f,agKFS
vNY^[,X9^aq
YcZ^S,==agh
TfhU`,V`fWa
lNMXt,G^iXS
D"H\f,Z\bI[
`^[VK,[a_]S
Vgk\E,nOZhe
yZdQP,VLWaX
ORUQN,G^iXS
D"H\f,XZjTk
gTQX\,Fj[Xb
]mGZe,\euZ|
^[[Si,cQ_cb
bPa`f,~w[id
Wq^j],PSYc\
TToV],iqlVV
FWk[U,[^EoH
_]pi],H_CDO
KfN[{,VoESp
D_c[a,bIcn]
wdYrR,ojxdR
[^be],Rg`gu
nrYRV,\`W[c
iWLWh,VLWaX
ORUQN,es__V
RDZmB,bjwUU
RX[T[,bVK=]
X]oRQ,E]FEd
`hfnV,Fj[Xb
]mGZe,\bPIc
\UZU`,AQmY<
V8rPj,NAyya
paaf`,cQ_cb
bPa`f,Pa^eY
o{h^p,e[n\V
nTUPY,enOQ_
NhPX],RIG^R
]dQaf,H_CDO
KfN[{,Xh]_V
g`Yfc,UmS_b
PSYc\,botNT
DJX`H,agKFS
vNY^[,cQ_cb
bPa`f,NAyya
paaf`,>\pRP
O[_WZ,G^iXS
D"H\f,X9^aq
YcZ^S,PUY[T
\Zkoi,wdYrR
mXgGq,_X]nY
\\I\',\bPIc
\UZU`,XZjTk
gTQX\,[a_]S
Vgk\E,ipTS_
V^rXn,VLWaX
ORUQN,SMZSU
@PZf^,WrZo^
ZnsHx,LdySY
~QVGU,>\pRP
O[_WZ,nCTk`
oeo_N,\`W[c
iWLWh,PSYc\
TToV],e[n\V
nTUPY,ShdNn
RXQhZ,Uf=SG
bMkow,cpofl
C]SaL,PUY[T
\Zkoi,KfXda
e_tQg,==agh
TfhU`,KfXda
e_tQg,IZodZ
dVB]j,ShdNn
RXQhZ,^Y`_[
sa\VP,LdySY
~QVGU,botNT
DJX`H,Xh]_V
g`Yfc,\bPIc
\UZU`,es__V
RDZmB,do^g`
TlQdQ,W_ocY
nAhy],flBrZ
c`Tj^,aL[KH
ogTZY,PUY[T
\Zkoi,SUeOO
_LfaW,XZjTk
gTQX\,PSYc\
TToV],Siu`h
UmS_b,LggpK
kST`q,Pa^eY
o{h^p,AQmY<
V8rPj,SUeOO
_LfaW,iqlVV
FWk[U,Uf=SG
bMkow,ojxdR
[^be],NAyya
paaf`,bV`\U
[g[fV,V`fWa
lNMXt,Siu`h
UmS_b,LggpK
kST`q,XVMFZ
V`hWd,bV`\U
[g[fV,PSYc\
TToV],WrZo^
ZnsHx,cQ_cb
bPa`f,gghQf
f:[^l,VoESp
D_c[a,do^g`
TlQdQ,[^EoH
_]pi],WrZo^
ZnsHx,Uf=SG
bMkow,XZjTk
gTQX\,PSYc\
TToV],eObfz
\mVse,X9^aq
YcZ^S,LdySY
~QVGU,LggpK
kST`q,TnJNg
lnnXc,_X]nY
\\I\',e[n\V
nTUPY,Rg`gu
nrYRV,PUY[T
\Zkoi,MaPhl
dWaQh,bjwUU
RX[T[,Ok[eN
srgGD,nOZhe
yZdQP,VLWaX
ORUQN,WV[mh
a\bNS,aL[KH
ogTZY,VZf]a
Zb\\X,TnJNg
lnnXc,MaPhl
dWaQh,\euZ|
^[[Si,Z\bI[
`^[VK,PUY[T
\Zkoi,W_ocY
nAhy],RIG^R
]dQaf,WcFQ]
>m`_d,\euZ|
^[[Si,[a_]S
Vgk\E,WcFQ]
>m`_d,\YiUn
VRpbh,_X]nY
\\I\',gc{Qe
aSzQG,AQmY<
V8rPj,agKFS
vNY^[,enOQ_
NhPX],GfVyi
iPBVN,cpofl
C]SaL,skHh\
hHXbg,es__V
RDZmB,bVK=]
X]oRQ,PSYc\
TToV],Siu`h
UmS_b,cpofl
C]SaL,G^iXS
D"H\f,[a_]S
Vgk\E,ShdNn
RXQhZ,aL[KH
ogTZY,gghQf
f:[^l,VZf]a
Zb\\X,KK]\M
KWgsQ,]g`io
`L_]L,PUY[T
\Zkoi,LkI_W
eSnbZ,GfVyi
iPBVN,UmS_b
PSYc\,`GUfM
^^;V],~w[id
Wq^j],Fj[Xb
]mGZe,`GUfM
^^;V],Pa^eY
o{h^p,\`W[c
iWLWh,Fj[Xb
]mGZe,XVMFZ
V`hWd,GOea`
nOZhe,aL[KH
ogTZY,LdySY
~QVGU,PUY[T
\Zkoi,iqlVV
FWk[U,\euZ|
^[[Si,ShdNn
RXQhZ,PUY[T
\Zkoi,LggpK
kST`q,hiXO[
QmecL,skHh\
hHXbg,nCTk`
oeo_N,]P@]y
bfcXC,_`^R\
Vg[ZI,Rg`gu
nrYRV,ipTS_
V^rXn,VoESp
D_c[a,cpofl
C]SaL,G^iXS
D"H\f,ShdNn
RXQhZ,LdySY
~QVGU,>\pRP
O[_WZ,Rg`gu
nrYRV,iqlVV
FWk[U,cpofl
C]SaL,skHh\
hHXbg,W_ocY
nAhy],]P@]y
bfcXC,fjYqc
hTl^g,`GUfM
^^;V],Uf=SG
bMkow,es__V
RDZmB,iqlVV
FWk[U,ojxdR
[^be],DJX`H
daYnT,LdySY
~QVGU,RIG^R
]dQaf,~w[id
Wq^j],ojxdR
[^be],iqlVV
FWk[U,gghQf
f:[^l,gghQf
f:[^l,cQ_cb
bPa`f,nV]m_
__XKU,flBrZ
c`Tj^,do^g`
TlQdQ,hiXO[
QmecL,[a_]S
Vgk\E,gc{Qe
aSzQG,gghQf
f:[^l,GYWaQ
yQyRb,]g`io
`L_]L,Uf=SG
bMkow,LkI_W
eSnbZ,ojxdR
[^be],VoESp
D_c[a,`GUfM
^^;V],_X]nY
\\I\',_`^R\
Vg[ZI,cfq{Y
lW\if,KfXda
e_tQg,GOea`
nOZhe,es__V
RDZmB,\bPIc
\UZU`,LggpK
kST`q,NAyya
paaf`,^Y`_[
sa\VP,LkI_W
eSnbZ,ojxdR
[^be],botNT
DJX`H,Ok[eN
srgGD,bIcn]
wdYrR,PSYc\
TToV],Rg`gu
nrYRV,gc{Qe
aSzQG,nV]m_
__XKU,V`fWa
lNMXt,NAyya
paaf`,V`fWa
lNMXt,cpofl
C]SaL,LggpK
kST`q,\YiUn
VRpbh,_`^R\
Vg[ZI,bjwUU
RX[T[,nV]m_
__XKU,DJX`H
daYnT,PUY[T
\Zkoi,\bPIc
\UZU`,LdySY
~QVGU,NAyya
paaf`,skHh\
hHXbg,X9^aq
YcZ^S,ipTS_
V^rXn,VLWaX
ORUQN,]g`io
`L_]L,\YiUn
VRpbh,agKFS
vNY^[,\`W[c
iWLWh,[a_]S
Vgk\E,VoESp
D_c[a,V`fWa
lNMXt,XVMFZ
V`hWd,PUY[T
\Zkoi,enOQ_
NhPX],\YiUn
VRpbh,~w[id
Wq^j],wdYrR
mXgGq,KK]\M
KWgsQ,skHh\
hHXbg,V`fWa
lNMXt,X9^aq
YcZ^S,botNT
DJX`H,bVK=]
X]oRQ,nV]m_
__XKU,_`^R\
Vg[ZI,GOea`
nOZhe,cpofl
C]SaL,LggpK
kST`q,^]r[u
aO\sk,botNT
DJX`H,LggpK
kST`q,ipTS_
V^rXn,KK]\M
KWgsQ,`GUfM
^^;V],nV]m_
__XKU,^Y`_[
sa\VP,G^iXS
D"H\f,W_ocY
nAhy],PSYc\
TToV],GfVyi
iPBVN,\bPIc
\UZU`,\`W[c
iWLWh,ojxdR
[^be],LkI_W
eSnbZ,[a_]S
Vgk\E,_X]nY
\\I\',^]r[u
aO\sk,gc{Qe
aSzQG,\bPIc
\UZU`,`GUfM
^^;V],]P@]y
bfcXC,SMZSU
@PZf^,WcFQ]
>m`_d,cfq{Y
lW\if,e[n\V
nTUPY,LkI_W
eSnbZ,cQ_cb
bPa`f,ojxdR
[^be],E]FEd
`hfnV,aL[KH
ogTZY,G^iXS
D"H\f,>\pRP
O[_WZ,\bPIc
\UZU`,KfXda
e_tQg,E]FEd
`hfnV,SMZSU
@PZf^,Siu`h
UmS_b,iqlVV
FWk[U,bIcn]
wdYrR,bV`\U
[g[fV,bIcn]
wdYrR,[#[PR
cT_ae,aL[KH
ogTZY,bVK=]
X]oRQ,Siu`h
UmS_b,Z\bI[
`^[VK,VLWaX
ORUQN,[^EoH
_]pi],`GUfM
^^;V],NAyya
paaf`,cpofl
C]SaL,\YiUn
VRpbh,ShdNn
RXQhZ,\YiUn
VRpbh,Rg`gu
nrYRV,nOZhe
yZdQP,botNT
DJX`H,Pa^eY
o{h^p,KfXda
e_tQg,\euZ|
^[[Si,G^iXS
D"H\f,MaPhl
dWaQh,G^iXS
D"H\f,GYWaQ
yQyRb,X9^aq
YcZ^S,Z\bI[
`^[VK,ShdNn
RXQhZ,]P@]y
bfcXC,cfq{Y
lW\if,cfq{Y
lW\if,AQmY<
V8rPj,Uf=SG
bMkow,XZjTk
gTQX\,gghQf
f:[^l,bIcn]
wdYrR,VZf]a
Zb\\X,wdYrR
mXgGq,NAyya
paaf`,^]r[u
aO\sk,bVK=]
X]oRQ,KfXda
e_tQg,\`W[c
iWLWh,^Y`_[
sa\VP,]g`io
`L_]L,gghQf
f:[^l,UmS_b
PSYc\,nOZhe
yZdQP,]g`io
`L_]L,\YiUn
VRpbh,VLWaX
ORUQN,PUY[T
\Zkoi,WrZo^
ZnsHx,X9^aq
YcZ^S,IZodZ
dVB]j,agKFS
vNY^[,bV`\U
[g[fV,nV]m_
__XKU,~w[id
Wq^j],AQmY<
V8rPj,PSYc\
TToV],\YiUn
VRpbh,VoESp
D_c[a,WV[mh
a\bNS,H_CDO
KfN[{,TnJNg
lnnXc,SUeOO
_LfaW,XZjTk
gTQX\,LneLc
gu[`f,[#[PR
cT_ae,NAyya
paaf`,SMZSU
@PZf^,PUY[T
\Zkoi,gghQf
f:[^l,bjwUU
RX[T[,VZf]a
Zb\\X,VZf]a
Zb\\X,skHh\
hHXbg,Rg`gu
nrYRV,W_ocY
nAhy],nV]m_
__XKU,es__V
RDZmB,XVMFZ
V`hWd,\`W[c
iWLWh,LkI_W
eSnbZ,PSYc\
TToV],es__V
RDZmB,SMZSU
@PZf^,LkI_W
eSnbZ,[#[PR
cT_ae,LdySY
~QVGU,XVMFZ
V`hWd,Ok[eN
srgGD,Uf=SG
bMkow,Uf=SG
bMkow,cQ_cb
bPa`f,DJX`H
daYnT,nOZhe
yZdQP,E]FEd
`hfnV,ojxdR
[^be],[^EoH
_]pi],e[n\V
nTUPY,[a_]S
Vgk\E,agKFS
vNY^[,Ok[eN
srgGD,Uf=SG
bMkow,==agh
TfhU`,cpofl
C]SaL,MaPhl
dWaQh,XVMFZ
V`hWd,nOZhe
yZdQP,DJX`H
daYnT,VoESp
D_c[a,VZf]a
Zb\\X,TnJNg
lnnXc,LneLc
gu[`f,LggpK
kST`q,gghQf
f:[^l,^]r[u
aO\sk,GfVyi
iPBVN,TnJNg
lnnXc,^]r[u
aO\sk,cfq{Y
lW\if,>\pRP
O[_WZ,]g`io
`L_]L,LggpK
kST`q,`GUfM
^^;V],Siu`h
UmS_b,bV`\U
[g[fV,enOQ_
NhPX],]P@]y
bfcXC,]g`io
`L_]L,^Y`_[
sa\VP,^Y`_[
sa\VP,`GUfM
^^;V],SMZSU
@PZf^,_X]nY
\\I\',>\pRP
O[_WZ,\`W[c
iWLWh,do^g`
TlQdQ,LggpK
kST`q,WV[mh
a\bNS,PSYc\
TToV],ipTS_
V^rXn,Siu`h
UmS_b,LdySY
~QVGU,Z\bI[
`^[VK,cfq{Y
lW\if,IZodZ
dVB]j,H_CDO
KfN[{,cQ_cb
bPa`f,XVMFZ
V`hWd,eObfz
\mVse,Pa^eY
o{h^p,do^g`
TlQdQ,==agh
TfhU`,WV[mh
a\bNS,Siu`h
UmS_b,aL[KH
ogTZY,WcFQ]
>m`_d,XVMFZ
V`hWd,bIcn]
wdYrR,do^g`
TlQdQ,ShdNn
RXQhZ,_X]nY
\\I\',VLWaX
ORUQN,]P@]y
bfcXC,bIcn]
wdYrR,~w[id
Wq^j],nCTk`
oeo_N,^]r[u
aO\sk,_`^R\
Vg[ZI,Z\bI[
`^[VK,KK]\M
KWgsQ,RIG^R
]dQaf,bVK=]
X]oRQ,~w[id
Wq^j],TnJNg
lnnXc,XZjTk
gTQX\,]P@]y
bfcXC,ipTS_
V^rXn,H_CDO
KfN[{,MaPhl
dWaQh,bjwUU
RX[T[,IZodZ
dVB]j,H_CDO
KfN[{,E]FEd
`hfnV,KfXda
e_tQg,X9^aq
YcZ^S,gghQf
f:[^l,GOea`
nOZhe,nOZhe
yZdQP,Ok[eN
srgGD,G^iXS
D"H\f,XVMFZ
V`hWd,nOZhe
yZdQP,bV`\U
[g[fV,cQ_cb
bPa`f,WrZo^
ZnsHx,PSYc\
TToV],~w[id
Wq^j],PUY[T
\Zkoi,V`fWa
lNMXt,XVMFZ
V`hWd,PSYc\
TToV],LggpK
kST`q,G^iXS
D"H\f,VoESp
D_c[a,botNT
DJX`H,[#[PR
cT_ae,G^iXS
D"H\f,G^iXS
D"H\f,nOZhe
yZdQP,VZf]a
Zb\\X,GYWaQ
yQyRb,nOZhe
yZdQP,VoESp
D_c[a,\`W[c
iWLWh,WrZo^
ZnsHx,bVK=]
X]oRQ,Rg`gu
nrYRV,agKFS
vNY^[,_X]nY
\\I\',TnJNg
lnnXc,bIcn]
wdYrR,LdySY
~QVGU,bjwUU
RX[T[,VZf]a
Zb\\X,GOea`
nOZhe,XZjTk
gTQX\,eObfz
\mVse,WV[mh
a\bNS,W_ocY
nAhy],PSYc\
TToV],W_ocY
nAhy],LggpK
kST`q,SMZSU
@PZf^,bIcn]
wdYrR,gghQf
f:[^l,eObfz
\mVse,Siu`h
UmS_b,IZodZ
dVB]j,X9^aq
YcZ^S,XZjTk
gTQX\,agKFS
vNY^[,\`W[c
iWLWh,Rg`gu
nrYRV,cfq{Y
lW\if,iqlVV
FWk[U,PUY[T
\Zkoi,bIcn]
wdYrR,E]FEd
`hfnV,WrZo^
ZnsHx,^Y`_[
sa\VP,e[n\V
nTUPY,RIG^R
]dQaf,VLWaX
ORUQN,NAyya
paaf`,gc{Qe
aSzQG,nCTk`
oeo_N,G^iXS
D"H\f,Rg`gu
nrYRV,`GUfM
^^;V],botNT
DJX`H,SMZSU
@PZf^,WV[mh
a\bNS,ojxdR
[^be],VoESp
D_c[a,LkI_W
eSnbZ,do^g`
TlQdQ,gc{Qe
aSzQG,Rg`gu
nrYRV,Uf=SG
bMkow,WrZo^
ZnsHx,]g`io
`L_]L,Rg`gu
nrYRV,RIG^R
]dQaf,cpofl
C]SaL,WrZo^
ZnsHx,_X]nY
\\I\',\YiUn
VRpbh,enOQ_
NhPX],XVMFZ
V`hWd,WrZo^
ZnsHx,^]r[u
aO\sk,botNT
DJX`H,bIcn]
wdYrR,Siu`h
UmS_b,`GUfM
^^;V],V`fWa
lNMXt,\euZ|
^[[Si,RIG^R
]dQaf,MaPhl
dWaQh,WrZo^
ZnsHx,VLWaX
ORUQN,botNT
DJX`H,VoESp
D_c[a,bV`\U
[g[fV,XVMFZ
V`hWd,^Y`_[
sa\VP,gghQf
f:[^l,Siu`h
UmS_b,G^iXS
D"H\f,aL[KH
ogTZY,iqlVV
FWk[U,\`W[c
iWLWh,LggpK
kST`q,nCTk`
oeo_N,RIG^R
]dQaf,_`^R\
Vg[ZI,WrZo^
ZnsHx,V`fWa
lNMXt,_`^R\
Vg[ZI,fjYqc
hTl^g,flBrZ
c`Tj^,gc{Qe
aSzQG,VZf]a
Zb\\X,G^iXS
D"H\f,WrZo^
ZnsHx,PUY[T
\Zkoi,es__V
RDZmB,ipTS_
V^rXn,XVMFZ
V`hWd,cQ_cb
bPa`f,cfq{Y
lW\if,Rg`gu
nrYRV,es__V
RDZmB,iqlVV
FWk[U,LkI_W
eSnbZ,V`fWa
lNMXt,IZodZ
dVB]j,V`fWa
lNMXt,[^EoH
_]pi],GfVyi
iPBVN,flBrZ
c`Tj^,H_CDO
KfN[{,Xh]_V
g`Yfc,^]r[u
aO\sk,VZf]a
Zb\\X,PSYc\
TToV],\bPIc
\UZU`,Uf=SG
bMkow,WcFQ]
>m`_d,LdySY
~QVGU,WcFQ]
>m`_d,_X]nY
\\I\',X9^aq
YcZ^S,RIG^R
]dQaf,Xh]_V
g`Yfc,WrZo^
ZnsHx,NAyya
paaf`,NAyya
paaf`,E]FEd
`hfnV,nOZhe
yZdQP,PSYc\
TToV],W_ocY
nAhy],WrZo^
ZnsHx,gc{Qe
aSzQG,agKFS
vNY^[,gghQf
f:[^l,[a_]S
Vgk\E,enOQ_
NhPX],agKFS
vNY^[,E]FEd
`hfnV,G^iXS
D"H\f,IZodZ
dVB]j,enOQ_
NhPX],UmS_b
PSYc\,bVK=]
X]oRQ,gc{Qe
aSzQG,VoESp
D_c[a,cpofl
C]SaL,WrZo^
ZnsHx,>\pRP
O[_WZ,LggpK
kST`q,ojxdR
[^be],WrZo^
ZnsHx,KfXda
e_tQg,PSYc\
TToV],]P@]y
bfcXC,Fj[Xb
]mGZe,G^iXS
D"H\f,AQmY<
V8rPj,\`W[c
iWLWh,cfq{Y
lW\if,==agh
TfhU`,iqlVV
FWk[U,Rg`gu
nrYRV,GfVyi
iPBVN,PSYc\
TToV],GOea`
nOZhe,Uf=SG
bMkow,wdYrR
mXgGq,DJX`H
daYnT,\`W[c
iWLWh,GfVyi
iPBVN,G^iXS
D"H\f,G^iXS
D"H\f,bjwUU
RX[T[,X9^aq
YcZ^S,PSYc\
TToV],ipTS_
V^rXn,H_CDO
KfN[{,G^iXS
D"H\f,Z\bI[
`^[VK,Xh]_V
g`Yfc,_X]nY
\\I\',^Y`_[
sa\VP,hiXO[
QmecL,VLWaX
ORUQN,nOZhe
yZdQP,WV[mh
a\bNS,Rg`gu
nrYRV,bjwUU
RX[T[,G^iXS
D"H\f,KK]\M
KWgsQ,RIG^R
]dQaf,GfVyi
iPBVN,\YiUn
VRpbh,KfXda
e_tQg,^Y`_[
sa\VP,NAyya
paaf`,bjwUU
RX[T[,botNT
DJX`H,[a_]S
Vgk\E,AQmY<
V8rPj,G^iXS
D"H\f,nCTk`
oeo_N,PSYc\
TToV],cQ_cb
bPa`f,ipTS_
V^rXn,RIG^R
]dQaf,LneLc
gu[`f,PUY[T
\Zkoi,do^g`
TlQdQ,WrZo^
ZnsHx,V`fWa
lNMXt,XZjTk
gTQX\,\YiUn
VRpbh,Fj[Xb
]mGZe,VLWaX
ORUQN,\euZ|
^[[Si,\bPIc
\UZU`,~w[id
Wq^j],RIG^R
]dQaf,Ok[eN
srgGD,eObfz
\mVse,ojxdR
[^be],wdYrR
mXgGq,NAyya
paaf`,[#[PR
cT_ae,gghQf
f:[^l,H_CDO
KfN[{,^Y`_[
sa\VP,WcFQ]
>m`_d,DJX`H
daYnT,RIG^R
]dQaf,[^EoH
_]pi],XVMFZ
V`hWd,gc{Qe
aSzQG,VoESp
D_c[a,UmS_b
PSYc\,[#[PR
cT_ae,_`^R\
Vg[ZI,MaPhl
dWaQh,XVMFZ
V`hWd,SMZSU
@PZf^,E]FEd
`hfnV,GOea`
nOZhe,KK]\M
KWgsQ,GYWaQ
yQyRb,iqlVV
FWk[U,enOQ_
NhPX],SUeOO
_LfaW,GYWaQ
yQyRb,hiXO[
QmecL,NAyya
paaf`,TnJNg
lnnXc,bjwUU
RX[T[,cfq{Y
lW\if,Xh]_V
g`Yfc,bV`\U
[g[fV,cQ_cb
bPa`f,E]FEd
`hfnV,PSYc\
TToV],Rg`gu
nrYRV,Pa^eY
o{h^p,`GUfM
^^;V],\bPIc
\UZU`,hiXO[
QmecL,nOZhe
yZdQP,VoESp
D_c[a,WV[mh
a\bNS,NAyya
paaf`,W_ocY
nAhy],^Y`_[
sa\VP,X9^aq
YcZ^S,\bPIc
\UZU`,gc{Qe
aSzQG,LggpK
kST`q,NAyya
paaf`,G^iXS
D"H\f,VZf]a
Zb\\X,bIcn]
wdYrR,W_ocY
nAhy],Z\bI[
`^[VK,gc{Qe
aSzQG,agKFS
vNY^[,W_ocY
nAhy],do^g`
TlQdQ,PUY[T
\Zkoi,cfq{Y
lW\if,ShdNn
RXQhZ,SMZSU
@PZf^,ipTS_
V^rXn,GfVyi
iPBVN,NAyya
paaf`,iqlVV
FWk[U,wdYrR
mXgGq,]g`io
`L_]L,^Y`_[
sa\VP,Rg`gu
nrYRV,TnJNg
lnnXc,fjYqc
hTl^g,V`fWa
lNMXt,LneLc
gu[`f,enOQ_
NhPX],^Y`_[
sa\VP,flBrZ
c`Tj^,PSYc\
TToV],XZjTk
gTQX\,Rg`gu
nrYRV,GYWaQ
yQyRb,Uf=SG
bMkow,GOea`
nOZhe,GfVyi
iPBVN,eObfz
\mVse,WrZo^
ZnsHx,V`fWa
lNMXt,WrZo^
ZnsHx,[^EoH
_]pi],agKFS
vNY^[,GYWaQ
yQyRb,bVK=]
X]oRQ,AQmY<
V8rPj,[#[PR
cT_ae,NAyya
paaf`,gc{Qe
aSzQG,TnJNg
lnnXc,ShdNn
RXQhZ,TnJNg
lnnXc,PUY[T
\Zkoi,]g`io
`L_]L,H_CDO
KfN[{,XVMFZ
V`hWd,TnJNg
lnnXc,bjwUU
RX[T[,SUeOO
_LfaW,iqlVV
FWk[U,PSYc\
TToV],ShdNn
RXQhZ,^Y`_[
sa\VP,bV`\U
[g[fV,wdYrR
mXgGq,VLWaX
ORUQN,nOZhe
yZdQP,^Y`_[
sa\VP,\bPIc
\UZU`,~w[id
Wq^j],do^g`
TlQdQ,Z\bI[
`^[VK,_`^R\
Vg[ZI,nV]m_
__XKU,\bPIc
\UZU`,aL[KH
ogTZY,Rg`gu
nrYRV,nV]m_
__XKU,bIcn]
wdYrR,AQmY<
V8rPj,e[n\V
nTUPY,AQmY<
V8rPj,e[n\V
nTUPY,Z\bI[
`^[VK,WV[mh
a\bNS,ipTS_
V^rXn,~w[id
Wq^j],]P@]y
bfcXC,==agh
TfhU`,_`^R\
Vg[ZI,wdYrR
mXgGq,agKFS
vNY^[,==agh
TfhU`,Siu`h
UmS_b,wdYrR
mXgGq,Z\bI[
`^[VK,e[n\V
nTUPY,hiXO[
QmecL,IZodZ
dVB]j,bV`\U
[g[fV,NAyya
paaf`,G^iXS
D"H\f,G^iXS
D"H\f,LdySY
~QVGU,DJX`H
daYnT,Uf=SG
bMkow,NAyya
paaf`,\YiUn
VRpbh,do^g`
TlQdQ,^Y`_[
sa\VP,SUeOO
_LfaW,Z\bI[
`^[VK,UmS_b
PSYc\,[a_]S
Vgk\E,Z\bI[
`^[VK,AQmY<
V8rPj,fjYqc
hTl^g,enOQ_
NhPX],bVK=]
X]oRQ,WrZo^
ZnsHx,\euZ|
^[[Si,wdYrR
mXgGq,NAyya
paaf`,fjYqc
hTl^g,_X]nY
\\I\',wdYrR
mXgGq,aL[KH
ogTZY,^Y`_[
sa\VP,nOZhe
yZdQP,XVMFZ
V`hWd,PUY[T
\Zkoi,TnJNg
lnnXc,AQmY<
V8rPj,do^g`
TlQdQ,VZf]a
Zb\\X,agKFS
vNY^[,cQ_cb
bPa`f,==agh
TfhU`,]g`io
`L_]L,UmS_b
PSYc\,nOZhe
yZdQP,XVMFZ
V`hWd,NAyya
paaf`,`GUfM
